cName,cType,每秒字节数,服务器地理位置,客户端地理位置,客户端端口,服务器,客户端,请求字节数,响应时间,请求接收端,客户端网段,请求发起端,开始时间
="61-164-117-143x4079xmapsystm.icbc.com.cn",="1(A)",="322.00 Bps",="中国",="中国",="63839",="2409:871E:8200:4::FFFB",="240E:1C:6200:2::7",="135.00 B",="966.99us",="2409:871E:8200:4::FFFB",="未知网段",="240E:1C:6200:2::7",="2022-10-22 18:24:11.676181631"
="120-240-94-82x6618xmapsystm.icbc.com.cn",="1(A)",="320.00 Bps",="中国",="中国",="58486",="2409:871E:8200:4::FFFB",="2409:8057:2000:8FFF:FFFF:FFFF:FFFF:FFE7",="134.00 B",="860.28us",="2409:871E:8200:4::FFFB",="未知网段",="2409:8057:2000:8FFF:FFFF:FFFF:FFFF:FFE7",="2022-10-22 18:24:10.854824395"
="120-240-94-82x3943xmapsystm.icbc.com.cn",="1(A)",="320.00 Bps",="中国",="中国",="46050",="2409:871E:8200:4::FFFB",="2409:8057:2000:8FFF:FFFF:FFFF:FFFF:FF6C",="134.00 B",="916.77us",="2409:871E:8200:4::FFFB",="未知网段",="2409:8057:2000:8FFF:FFFF:FFFF:FFFF:FF6C",="2022-10-22 18:23:56.623585174"
="113-207-0-11x281xmapsystm.icbc.com.cn",="1(A)",="316.00 Bps",="中国",="中国",="49539",="2409:871E:8200:4::FFFB",="2408:8662::1:15",="132.00 B",="977.77us",="2409:871E:8200:4::FFFB",="未知网段",="2408:8662::1:15",="2022-10-22 18:23:43.348680411"
="240e:90:2020:0:0:0:0:ccx7971xmapsystm.icbc.com.cn",="1(A)",="352.00 Bps",="中国",="中国",="38952",="2409:871E:8200:4::FFFB",="240E:44:4001:4001::63",="156.00 B",="992.5us",="2409:871E:8200:4::FFFB",="未知网段",="240E:44:4001:4001::63",="2022-10-22 18:23:40.045897037"
="111-62-90-90x4396xmapsystm.icbc.com.cn",="1(A)",="318.00 Bps",="中国",="中国",="3582",="2409:871E:8200:4::FFFB",="2409:8008:2000:133::2",="133.00 B",="949.74us",="2409:871E:8200:4::FFFB",="未知网段",="2409:8008:2000:133::2",="2022-10-22 18:23:35.931656423"
="2409:8c10:c00:4fc:0:0:0:5cx554xmapsystm.icbc.com.cn",="1(A)",="344.00 Bps",="中国",="中国",="61399",="2409:871E:8200:4::FFFB",="2409:8010:2000:1001::22",="146.00 B",="900.09us",="2409:871E:8200:4::FFFB",="未知网段",="2409:8010:2000:1001::22",="2022-10-22 18:23:25.732521381"
="2409:8c70:3a00:70:0:0:0:511x2064xmapsystm.icbc.com.cn",="1(A)",="348.00 Bps",="中国",="中国",="36797",="2409:871E:8200:4::FFFB",="2409:8070:B:1005::5021",="148.00 B",="878.59us",="2409:871E:8200:4::FFFB",="未知网段",="2409:8070:B:1005::5021",="2022-10-22 18:23:21.240288765"
="2409:8c10:c00:4fc:0:0:0:5cx2309xmapsystm.icbc.com.cn",="1(A)",="346.00 Bps",="中国",="中国",="42184",="2409:871E:8200:4::FFFB",="2409:8010:2000:1011::12",="147.00 B",="905.51us",="2409:871E:8200:4::FFFB",="未知网段",="2409:8010:2000:1011::12",="2022-10-22 18:23:19.853100494"
="118-213-93-177x145xmapsystm.icbc.com.cn",="1(A)",="332.00 Bps",="中国",="中国",="34491",="2409:871E:8200:4::FFFB",="240E:44:4001:8001::73",="146.00 B",="825.43us",="2409:871E:8200:4::FFFB",="未知网段",="240E:44:4001:8001::73",="2022-10-22 18:22:51.196320573"
="118-213-93-177x7769xmapsystm.icbc.com.cn",="1(A)",="334.00 Bps",="中国",="中国",="40206",="2409:871E:8200:4::FFFB",="240E:44:4001:8001::73",="147.00 B",="906.36us",="2409:871E:8200:4::FFFB",="未知网段",="240E:44:4001:8001::73",="2022-10-22 18:22:42.494327323"
="120-221-66-137x7429xmapsystm.icbc.com.cn",="1(A)",="334.00 Bps",="中国",="中国",="46158",="2409:871E:8200:4::FFFB",="2409:803C:2002:8028::2",="147.00 B",="1.13ms",="2409:871E:8200:4::FFFB",="未知网段",="2409:803C:2002:8028::2",="2022-10-22 18:22:37.092111267"
="119-0-66-39x20xmapsystm.icbc.com.cn",="1(A)",="312.00 Bps",="中国",="中国",="31699",="2409:871E:8200:4::FFFB",="240E:4A:4400:2::5",="130.00 B",="943.21us",="2409:871E:8200:4::FFFB",="未知网段",="240E:4A:4400:2::5",="2022-10-22 18:22:36.681659096"
